Instance name,number of customers,cost,generate population time,crossover time,localsearch time,add Individual  to population time
CMT1,50,521,0.0268361,0.173813,3.15967,0.714627
CMT10,199,1377,0.15812,2.97852,25.7933,2.05439
CMT11,120,1034,0.0957902,0.295252,10.5594,0.936129
CMT12,100,820,0.0514114,0.192704,5.28146,0.753022
CMT13,120,1524,0.0995203,1.07711,10.3449,0.954099
CMT14,100,865,0.0549759,0.457071,6.3845,0.693473
CMT2,75,830,0.0386843,0.312623,5.80117,0.960519
CMT3,100,815,0.0534772,0.236914,8.74679,1.03081
CMT4,150,1015,0.0994787,0.374185,11.8294,1.22971
CMT5,199,1275,0.131293,1.15913,27.2379,2.37982
CMT6,50,548,0.0254673,0.270875,3.6657,0.744337
CMT7,75,903,0.0512285,0.4973,5.89619,0.877044
CMT8,100,848,0.0596243,1.01532,13.9464,1.57379
CMT9,150,1145,0.107192,1.61081,13.2163,1.22561
Golden,396,1332,0.509325,6.16095,65.0013,2.12479
X-n1001-k43,1000,72673,3.98685,34.7204,2031.31,39.0724
X-n101-k25,100,27591,0.0704291,0.618055,7.5124,1.14706
X-n106-k14,105,26421,0.0942325,0.340303,23.3039,1.39182
X-n110-k13,109,14971,0.0597135,0.301548,7.09815,1.10248
X-n115-k10,114,12747,0.0781851,0.250445,9.16658,1.11798
X-n120-k6,119,13332,0.110036,0.216531,17.4858,1.05998
X-n125-k30,124,55542,0.143074,1.25958,22.7206,2.15058
X-n129-k18,128,28940,0.113261,0.385187,17.3857,1.34724
X-n134-k13,133,10916,0.119434,0.699677,22.9683,1.53688
X-n139-k10,138,13590,0.0899519,0.314856,11.2136,1.1267
X-n143-k7,142,15700,0.145853,0.295879,21.4033,1.20626
X-n148-k46,147,43448,0.12376,1.06547,16.2393,1.86352
X-n153-k22,152,21225,0.178559,0.878359,27.2906,1.71383
X-n157-k13,156,16876,0.132568,0.314286,23.6118,1.57325
X-n162-k11,161,14138,0.112209,0.496567,13.6302,1.33463
X-n167-k10,166,20557,0.185794,0.500775,39.8172,1.8875
X-n172-k51,171,45607,0.164438,1.74241,18.3513,2.10985
X-n176-k26,175,47812,0.257745,1.08781,31.5273,1.9084
X-n181-k23,180,25569,0.126385,0.536737,36.21,2.80512
X-n186-k15,185,24145,0.194757,0.690325,23.3853,1.50936
X-n190-k8,189,16987,0.389646,0.893417,160.445,3.9679
X-n195-k51,194,44225,0.157386,1.33639,17.4168,2.01327
X-n200-k36,199,58631,0.174433,0.873761,22.1458,1.8927
X-n204-k19,203,19565,0.166219,1.01276,27.3901,2.12453
X-n209-k16,208,30663,0.25128,1.70271,96.3377,4.29864
X-n214-k11,213,10874,0.288556,1.14826,62.0861,2.48148
X-n219-k73,218,117606,0.185011,1.87385,33.3199,3.2231
X-n223-k34,222,40437,0.17028,1.48672,39.0963,3.20905
X-n228-k23,227,25743,0.241462,1.84094,55.748,3.78136
X-n233-k16,232,19230,0.211341,1.57006,50.0216,3.63933
X-n237-k14,236,27042,0.311823,0.521634,43.4979,1.88191
X-n242-k48,241,82922,0.250875,1.82665,49.6887,3.24641
X-n247-k50,246,37406,0.341296,2.7128,55.6583,3.55445
X-n251-k28,250,38714,0.269785,4.33857,150.468,8.63395
X-n256-k16,255,18880,0.21309,0.648745,28.0515,1.93439
X-n261-k13,260,26600,0.41651,2.08248,147.174,6.1227
X-n266-k58,265,75587,0.284311,7.439,132.304,8.04164
X-n270-k35,269,35309,0.220102,2.12928,31.1733,3.11934
X-n275-k28,274,21245,0.227969,0.893361,35.3122,2.72494
X-n280-k17,279,33592,0.465239,1.19106,138.767,4.45869
X-n284-k15,283,20258,0.421891,1.2868,110.034,3.93143
X-n289-k60,288,95389,0.385663,8.26581,115.415,7.48116
X-n294-k50,293,47240,0.263391,2.64234,33.0942,3.64633
X-n298-k31,297,34273,0.270298,1.32046,33.22,2.73622
X-n303-k21,302,21758,0.311334,2.68703,88.7312,5.09101
X-n308-k13,307,25919,0.527263,1.19128,158.172,4.34026
X-n313-k71,312,94195,0.355993,3.51412,47.7609,3.8539
X-n317-k53,316,78361,0.329945,4.33214,110.283,6.17522
X-n322-k28,321,29922,0.290234,3.50188,70.0731,5.70548
X-n327-k20,326,27573,0.467485,1.79464,80.1691,3.77823
X-n331-k15,330,31103,0.523881,0.987409,128.187,4.31839
X-n336-k84,335,139688,0.551165,13.7873,155.297,9.29589
X-n344-k43,343,42190,0.31276,2.90511,48.2695,3.84996
X-n351-k40,350,25973,0.394335,6.20884,109.989,7.59023
X-n359-k29,358,51750,0.594979,1.64801,107.065,3.70825
X-n367-k17,366,22814,0.557543,1.05091,105.167,4.37862
X-n376-k94,375,147718,0.34849,7.313,100.485,7.31115
X-n384-k52,383,66054,0.454427,19.1892,290.248,17.1146
X-n393-k38,392,38332,0.450712,3.68451,103.791,6.04925
X-n401-k29,400,66240,0.781595,1076.03,3601.71,8.35374
X-n411-k19,410,19756,0.648445,2.50195,252.632,6.62103
X-n420-k130,419,107817,0.416391,19.7433,207.587,17.1988
X-n429-k61,428,65503,0.413099,8.91408,108.213,8.79469
X-n439-k37,438,36430,0.420061,2.38112,114.37,8.39721
X-n449-k29,448,55325,0.859456,8.46378,331.786,13.3372
X-n459-k26,458,24186,0.734075,2.42112,98.5269,4.28311
X-n469-k138,468,222272,0.66985,18.5531,185.943,9.61775
X-n480-k70,479,89459,0.584953,10.025,264.749,14.9006
X-n491-k59,490,66748,0.645744,16.6747,276.612,15.0972
X-n502-k39,501,69258,0.741406,2.87869,287.193,14.5161
X-n513-k21,512,24201,0.764379,1.16713,96.6555,4.25281
X-n524-k153,523,154982,0.747558,17.5533,132.026,10.702
X-n536-k96,535,95016,0.695202,22.2782,258.946,15.2879
X-n548-k50,547,86755,0.845017,8.41641,247.379,10.3772
X-n561-k42,560,42787,0.674169,4.08385,115.705,7.45176
X-n573-k30,572,50832,2.37834,2.68222,932.153,15.801
X-n586-k159,585,190470,0.73779,32.0308,332.075,17.2222
X-n599-k92,598,108815,0.787747,17.5757,219.443,11.9618
X-n613-k62,612,59873,0.737861,15.6935,231.552,16.9853
X-n627-k43,626,62347,1.68907,22.1646,981.406,22.8224
X-n641-k35,640,63832,1.68867,9.62613,462.728,12.7929
X-n655-k131,654,106842,0.64416,14.7597,251.389,15.7845
X-n670-k130,669,146821,1.25887,42.4797,440.943,23.1052
X-n685-k75,684,68438,0.969192,21.8744,250.937,16.1568
X-n701-k44,700,82353,1.85393,20.6133,852.098,25.1994
X-n716-k35,715,43549,2.00891,14.0201,793.883,24.2677
X-n733-k159,732,136581,0.871987,33.9311,608.401,29.4375
X-n749-k98,748,77412,1.21253,69.6035,7510.11,811.222
X-n766-k71,765,114772,2.73408,979.803,11873.1,29.8577
X-n783-k48,782,72875,2.11213,19.5223,3263.18,19.2313
X-n801-k40,800,73476,2.44777,15.1041,664.561,18.05
X-n819-k171,818,158388,1.19644,71.2379,741.209,32.8748
X-n837-k142,836,194316,1.44162,47.5617,3029.36,22.6954
X-n856-k95,855,89141,1.10415,8.98064,205.648,12.2879
